t,pos_x,vel_x,pos_y,vel_y,pos_z,vel_z,meas_ax,meas_ay,meas_az
31.525,0,0,0,0,0,0,-2.92847,2.01448,-2.00836
31.62,0,0,0,0,0,0,-1.47314,0.808093,1.89806
31.72,0,0,0,0,0,0,-1.39654,2.16768,2.1853
31.815,0,0,0,0,0,0,-1.56888,1.24852,1.24699
31.915,0,0,0,0,0,0,-1.35824,2.99109,-0.0359997
32.01,0,0,0,0,0,0,-4.40295,2.6847,0.902307
32.11,0,0,0,0,0,0,-6.77744,7.0124,0.270386
32.205,0,0,0,0,0,0,-7.92639,4.75281,1.62997
32.305,0,0,0,0,0,0,-8.52001,0.21447,-4.19136
32.399,0,0,0,0,0,0,-13.6137,15.1508,-10.2233
32.5,0,0,0,0,0,0,-11.3541,16.2806,-1.05091
32.595,0,0,0,0,0,0,-12.5413,11.8188,9.99816
32.695,0,0,0,0,0,0,-5.07317,-4.70686,6.37895
32.79,0,0,0,0,0,0,-2.73698,-5.66431,-0.438131
32.886,0,0,0,0,0,0,-3.61784,-9.93459,-1.18495
32.985,0,0,0,0,0,0,-11.3541,-13.8218,-8.90205
33.08,0,0,0,0,0,0,-9.45832,-9.18775,-5.32116
33.176,0,0,0,0,0,0,-11.2583,1.6315,5.21086
33.269,0,0,0,0,0,0,-10.8754,10.2103,15.379
33.37,0,0,0,0,0,0,-15.1073,9.1954,23.7089
33.465,0,0,0,0,0,0,-7.16043,1.7464,12.9471
33.56,0,0,0,0,0,0,-6.01148,-3.02174,9.02153
33.659,0,0,0,0,0,0,-2.41145,-1.89194,2.87466
33.755,0,0,0,0,0,0,-6.29872,-0.0919159,3.54488
33.845,0,0,0,0,0,0,-6.72,3.46982,-3.21476
33.945,0,0,0,0,0,0,-6.04978,3.06769,-0.438131
34.041,0,0,0,0,0,0,-4.97743,-0.360003,-1.18495
34.138,0,0,0,0,0,0,-0.132703,-3.06003,-4.38285
34.235,0,0,0,0,0,0,0.211981,-3.28982,-5.07222
