time_s,acceleration_x,acceleration_y,acceleration_z
81.14,-4.53699747,-4.89834882,-3.9232740600000002
81.239,-0.190150173,-4.821752340000001,1.4576286600000001
81.335,0.346025187,-3.28982274,4.90447026
81.435,-2.94762051,3.29747454,9.500259060000001
81.53,-2.71783107,11.3592933,23.9961429
81.629,0.614112867,18.157230900000002,24.876982800000004
81.725,6.780132450000001,6.34218462,8.60025042
81.82,6.33970269,13.446468900000001,12.2960502
81.92,5.45884317,15.5912292,23.9770134
82.015,5.78437821,5.882605740000001,34.8345252
82.11,5.037562530000001,15.5528721,38.664349200000004
82.208,7.871632290000001,27.329580900000003,24.0918885
82.305,10.361027700000001,30.4891857,3.5831809800000003
82.4,9.76739517,18.769963500000003,-5.512651020000001
82.495,4.55883453,19.574187300000002,-8.28927342
82.595,-0.936965853,22.0444434,-3.7892302200000003
82.69,-4.76678691,21.7380771,-2.58283566
82.784,-5.073172830000001,15.0933717,-0.936008397
82.88,-5.85828675,21.623202000000003,-1.6445287800000001
82.98,-2.27740131,12.8719953,3.5065845
83.075,1.32263325,5.02089534,2.1086987400000003
83.17,5.152457250000001,-2.8685421,6.4555489800000005
83.267,8.465255010000002,-4.821752340000001,6.5704437
83.365,7.35460605,-3.38556834,6.091715700000001
83.461,5.74607997,-0.647240256,4.77042642
83.56,3.8886153300000004,1.42086078,9.13642578
83.657,4.00351005,8.92731582,16.0875171
83.755,5.22905373,9.903881700000001,12.544929900000001
83.85,10.571648399999999,13.7337057,17.6960628
83.95,19.763226000000003,5.72941278,17.0258436
84.05,25.412216400000002,10.574100900000001,21.9854853
84.145,23.7845412,11.033699400000001,8.42790834
84.243,8.58014973,-0.99192834,-27.514989900000003
84.34,-1.09015587,2.12937822,-26.117064900000003
84.44,-7.25617251,9.9804978,-25.1404794
84.535,-12.0625722,-1.20256866,-14.3212266
84.635,-15.700905,-16.5792924,-13.2106365
84.733,-8.78810211,-13.0558347,-18.2851533
84.83,-4.99657635,-7.789865939999999,-12.980788200000001
84.93,-3.73273443,-4.821752340000001,-7.84884366
85.025,-3.33060291,-2.6770509000000002,5.19170706
85.122,-8.749803870000001,1.42086078,15.8195079
85.22,-4.728488670000001,-0.0153194922,16.164133200000002
85.317,-3.4646467500000004,0.5208560640000001,14.766306300000002
85.415,0.460919907,1.2293695800000002,10.6300179
85.511,1.0162473300000001,0.137873664,10.457754300000001
85.61,-1.05185763,-3.4238665800000003,14.019471000000001
85.705,-0.860369373,-7.21539234,14.1343461
85.807,-0.8986676130000001,-13.4963037,14.881181400000001
85.905,6.33970269,-18.647436600000002,4.61723346
86.0,13.635507600000002,-11.543132700000001,-3.2913531
86.1,10.648264500000002,7.203895020000001,-8.02118574
86.2,0.154533987,33.572272500000004,3.3533915400000005
86.295,-2.16250659,28.880738100000002,11.6832195
86.39,6.971623650000001,6.45707934,5.7087333
86.491,6.18650973,3.96769374,7.2981102600000005
86.59,5.28650109,4.5038691,5.268303540000001
86.685,1.32263325,15.0167556,14.7854358
86.782,-0.132702813,19.535928300000002,7.1449173
86.881,2.8162646099999997,12.699731700000001,1.5916725
86.98,3.48648381,10.4783553,-3.0424145400000002
87.078,0.575814627,4.08258846,-1.6445287800000001
87.173,-6.585953310000001,3.5655622200000003,7.8917329800000005
87.269,-10.645615800000002,7.24219326,19.1322468
87.365,-11.6222013,14.2699203,17.1024597
87.459,-8.15618115,17.793378,2.41508466
87.555,-7.007233950000001,10.995440400000001,-3.3296513400000003
87.654,-5.62849731,3.9293955000000005,-1.9317655800000002
87.75,-7.44766371,3.0676851,2.0321022600000003
87.845,-10.0902717,6.4187810999999995,2.5299793800000003
87.945,-9.61151427,6.72516702,0.42357912300000006
88.04,-7.37106723,5.32728126,-2.6211339
88.135,-3.33060291,3.6421587,-3.55944078
88.232,-0.305044893,2.35916766,-2.77432686
88.326,0.8822005470000001,1.97618526,-3.52114254
88.422,0.843902307,1.19107134,-4.3445547
88.52,0.250279587,6.49537758,-6.872238540000001
88.62,-0.860369373,6.1506934200000005,-16.217009100000002
88.715,1.83965949,10.9570833,-17.4999609
88.815,5.51629053,5.99750046,-12.8276541
88.91,6.37800093,7.4719827,-11.659479300000001
